Months, Average Population, Average Infection, Live Squirrels, Infected Squirrels
0 , 0, 0, 34, 4
1 , 12.75 , 1.125 , 33 , 3
2 , 23.5 , 1.4375 , 31 , 1
3 , 34.25 , 0.625 , 32 , 1
4 , 31.5 , 0.4375 , 32 , 0
5 , 30.4375 , 0.125 , 32 , 0
6 , 32.9375 , 0.0 , 32 , 0
7 , 33.0 , 0.0 , 32 , 0
8 , 32.5 , 0.0 , 32 , 0
9 , 33.375 , 0.0 , 32 , 0
10 , 34.375 , 0.0 , 32 , 0
11 , 38.1875 , 0.0 , 32 , 0
12 , 34.375 , 0.0 , 32 , 0
13 , 35.875 , 0.0 , 33 , 0
14 , 35.75 , 0.0 , 33 , 0
15 , 36.375 , 0.0 , 33 , 0
16 , 34.1875 , 0.0 , 33 , 0
17 , 34.5 , 0.0 , 33 , 0
18 , 36.8125 , 0.0 , 33 , 0
19 , 42.25 , 0.0 , 33 , 0
20 , 40.8125 , 0.0 , 33 , 0
21 , 37.25 , 0.0 , 33 , 0
22 , 35.4375 , 0.0 , 33 , 0
23 , 35.875 , 0.0 , 33 , 0
24 , 33.0 , 0.0 , 33 , 0
